,cast_id,character,credit_id,gender,id,name,order,movie_id
0,42,Ted the Bellhop,52fe420dc3a36847f80001b7,2,3129,Tim Roth,0,5
1,31,Man,52fe420dc3a36847f800018b,2,3131,Antonio Banderas,1,5
2,29,Angela,52fe420dc3a36847f8000183,1,3130,Jennifer Beals,2,5
3,25,Elspeth,52fe420dc3a36847f8000173,1,3125,Madonna,3,5
4,41,Margaret,52fe420dc3a36847f80001b3,1,3141,Marisa Tomei,4,5
5,43,Leo,52fe420dc3a36847f80001bb,2,62,Bruce Willis,5,5
6,38,Chester Rush,52fe420dc3a36847f80001a7,2,138,Quentin Tarantino,6,5
7,22,Jezebel,52fe420dc3a36847f8000167,1,3122,Sammi Davis,7,5
8,23,Diana,52fe420dc3a36847f800016b,1,3123,Amanda de Cadenet,8,5
9,24,Athena,52fe420dc3a36847f800016f,1,3124,Valeria Golino,9,5
10,27,Raven,52fe420dc3a36847f800017b,1,3127,Lili Taylor,10,5
11,39,Long Hair Yuppy Scum,52fe420dc3a36847f80001ab,2,2545,Lawrence Bender,11,5
12,26,Eva,52fe420dc3a36847f8000177,1,3126,Ione Skye,12,5
13,28,Kiva,52fe420dc3a36847f800017f,1,3128,Alicia Witt,13,5
14,30,Siegfried,52fe420dc3a36847f8000187,2,2555,David Proval,14,5
15,32,Sarah,52fe420dc3a36847f800018f,1,3132,Lana McKissack,15,5
16,34,Wife,52fe420dc3a36847f8000197,1,3134,Tamlyn Tomita,16,5
17,40,Betty,52fe420dc3a36847f80001af,1,3138,Kathy Griffin,17,5
18,37,Norman,52fe420dc3a36847f80001a3,2,3137,Paul Calderon,18,5
19,36,TV Dancing Girl,52fe420dc3a36847f800019f,1,3136,Salma Hayek,19,5
20,33,Corpse,52fe420dc3a36847f8000193,1,3133,Patricia Vonne,20,5
21,35,Juancho,52fe420dc3a36847f800019b,0,3135,Danny Verduzco,21,5
22,44,Hooker,52fe420dc3a36847f80001bf,0,37336,Kimberly Blair,22,5
23,45,Sam the Bellhop,52fe420dc3a36847f80001c3,2,3140,Marc Lawrence,23,5
0,3,Luke Skywalker,52fe420dc3a36847f8000441,2,2,Mark Hamill,0,11
1,4,Han Solo,52fe420dc3a36847f8000445,2,3,Harrison Ford,1,11
2,5,Princess Leia Organa,52fe420dc3a36847f8000449,1,4,Carrie Fisher,2,11
3,6,Grand Moff Tarkin,52fe420dc3a36847f800044d,2,5,Peter Cushing,3,11
4,14,"Obi-Wan ""Ben"" Kenobi",52fe420dc3a36847f8000477,2,12248,Alec Guinness,4,11
5,7,See Threepio (C-3PO),52fe420dc3a36847f8000451,2,6,Anthony Daniels,5,11
6,8,Artoo-Detoo (R2-D2),52fe420dc3a36847f8000455,2,130,Kenny Baker,6,11
7,15,Chewbacca,52fe420dc3a36847f800047b,2,24343,Peter Mayhew,7,11
8,16,Darth Vader,52fe420dc3a36847f800047f,2,24342,David Prowse,8,11
9,17,Voice of Darth Vader (voice),52fe420dc3a36847f8000483,0,15152,James Earl Jones,9,11
10,18,Uncle Owen,52fe420dc3a36847f8000487,2,33032,Phil Brown,10,11
11,19,Aunt Beru,52fe420dc3a36847f800048b,1,131625,Shelagh Fraser,11,11
12,24,Chief Jawa,52fe420dc3a36847f800049f,2,132538,Jack Purvis,12,11
13,26,General Willard,52fe420dc3a36847f80004a7,2,69249,Eddie Byrne,13,11
14,27,Red Two (Wedge),52fe420dc3a36847f80004ab,2,47698,Denis Lawson,14,11
15,28,Red Three (Biggs),52fe420dc3a36847f80004af,2,17356,Garrick Hagon,15,11
16,33,General Taggi,52fe420dc3a36847f80004c3,2,42570,Don Henderson,16,11
17,35,Commander #1,52fe420dc3a36847f80004cb,2,79489,Leslie Schofield,17,11
18,34,General Motti,52fe420dc3a36847f80004c7,2,12829,Richard LeParmentier,18,11
19,128,Stormtrooper,586570c7c3a36852d201e865,2,1729623,Michael Leader,19,11
20,25,General Dodonna,52fe420dc3a36847f80004a3,2,216087,Alex McCrindle,20,11
21,23,Red Leader,52fe420dc3a36847f800049b,2,47401,Drewe Henley,21,11
22,29,"Red Four (John ""D"")",52fe420dc3a36847f80004b3,2,162432,Jack Klaff,22,11
23,21,Red Six (Porkins),52fe420dc3a36847f8000493,2,663,William Hootkins,23,11
24,30,Gold Leader,52fe420dc3a36847f80004b7,2,58475,Angus MacInnes,24,11
25,126,Gold Two,569792c4c3a3683b040021fc,2,151819,Jeremy Sinden,25,11
26,32,Gold Five,52fe420dc3a36847f80004bf,2,202276,Graham Ashley,26,11
27,36,Red Two (voice) (uncredited),52fe420dc3a36847f80004cf,2,1216947,David Ankrum,27,11
28,37,Boba Fett (special edition) (uncredited),52fe420dc3a36847f80004d3,2,1271058,Mark Austin,28,11
29,38,Stormtrooper (voice) (uncredited),52fe420dc3a36847f80004d7,2,3044,Scott Beach,29,11
30,39,Stormtrooper (uncredited),52fe420ec3a36847f80004db,2,1271059,Lightning Bear,30,11
31,40,Cantina Alien (uncredited),52fe420ec3a36847f80004df,2,1271060,Jon Berg,31,11
32,41,Cantina Alien (uncredited),52fe420ec3a36847f80004e3,0,1271061,Doug Beswick,32,11
33,42,Greedo (uncredited),52fe420ec3a36847f80004e7,2,199356,Paul Blake,33,11
34,43,Nabrun Leids (uncredited),52fe420ec3a36847f80004eb,0,1271062,Janice Burchette,34,11
35,44,Wuher (uncredited),52fe420ec3a36847f80004ef,2,1271063,Ted Burnett,35,11
36,45,Drifter (Red 12) (uncredited),52fe420ec3a36847f80004f3,2,1271064,John Chapman,36,11
37,46,Cantina Patron (uncredited),52fe420ec3a36847f80004f7,2,1271065,Gilda Cohen,37,11
38,47,Stormtrooper (uncredited),52fe420ec3a36847f80004fb,2,1178140,Tim Condren,38,11
39,48,Wioslea (uncredited),52fe420ec3a36847f80004ff,0,186229,Barry Copping,39,11
40,49,Dr. Evazan (uncredited),52fe420ec3a36847f8000503,2,1271066,Alfie Curtis,40,11
41,50,Cantina Patron (uncredited),52fe420ec3a36847f8000507,0,1271067,Robert Davies,41,11
42,51,Greedo (uncredited),52fe420ec3a36847f800050b,1,104149,Maria De Aragon,42,11
43,52,Hrchek Kal Fas (uncredited),52fe420ec3a36847f800050f,0,1271068,Robert A. Denham,43,11
44,53,Jawa (uncredited),52fe420ec3a36847f8000513,0,1271069,Frazer Diamond,44,11
45,54,Stormtrooper / Tusken Raider / Death Star Trooper / Garouf Lafoe (uncredited),52fe420ec3a36847f8000517,2,53587,Peter Diamond,45,11
46,55,Jawa (uncredited),52fe420ec3a36847f800051b,0,1271070,Warwick Diamond,46,11
47,56,Garindan (uncredited),52fe420ec3a36847f800051f,0,1271071,Sadie Eden,47,11
48,57,Djas Puhr (uncredited),52fe420ec3a36847f8000523,0,1271072,Kim Falkinburg,48,11
49,58,Death Star Trooper (uncredited),52fe420ec3a36847f8000527,2,202402,Harry Fielder,49,11
50,59,Stormtrooper with Binoculars (uncredited),52fe420ec3a36847f800052b,0,1271073,Ted Gagliano,50,11
51,60,Cantina Patron (uncredited),52fe420ec3a36847f800052f,0,1271074,Salo Gardner,51,11
52,61,Death Star Trooper (uncredited),52fe420ec3a36847f8000533,0,1195602,Steve Gawley,52,11
53,62,Kabe (uncredited),52fe420ec3a36847f8000537,0,1271075,Barry Gnome,53,11
54,63,Kabe / Jawa / GONK Droid (uncredited),52fe420ec3a36847f800053b,0,252527,Rusty Goffe,54,11
55,64,Cantina Patron (uncredited),52fe420ec3a36847f800053f,0,1271076,Isaac Grand,55,11
56,65,Stormtrooper (special edition) (uncredited),52fe420ec3a36847f8000543,0,1271077,Nelson Hall,56,11
57,66,Stormtrooper (uncredited),52fe420ec3a36847f8000547,0,1271078,Reg Harding,57,11
58,67,Leia's Rebel Escort (uncredited),52fe420ec3a36847f800054b,2,964699,Alan Harris,58,11
59,68,Stormtrooper (uncredited),52fe420ec3a36847f800054f,0,1271079,Frank Henson,59,11
60,69,Brea Tonnika (uncredited),52fe420ec3a36847f8000553,0,1271080,Christine Hewett,60,11
61,70,Stormtrooper (uncredited),52fe420ec3a36847f8000557,0,1271081,Arthur Howell,61,11
62,71,Ponda Baba (uncredited),52fe420ec3a36847f800055b,0,1271082,Tommy Ilsley,62,11
63,72,Death Star Trooper (uncredited),52fe420ec3a36847f800055f,2,4945,Joe Johnston,63,11
64,73,Mosep (uncredited),52fe420ec3a36847f8000563,0,1271083,Annette Jones,64,11
65,74,Chall Bekan (uncredited),52fe420ec3a36847f8000567,0,1148750,Linda Jones,65,11
66,75,Solomohal (uncredited),52fe420ec3a36847f800056b,0,201344,Joe Kaye,66,11
67,76,Stormtrooper (voice) (uncredited),52fe420ec3a36847f800056f,0,1271085,Colin Michael Kitchens,67,11
68,77,Jawa (uncredited),52fe420ec3a36847f8000573,0,1271086,Melissa Kurtz,68,11
69,78,Jawa (uncredited),52fe420ec3a36847f8000577,0,1190780,Tiffany L. Kurtz,69,11
70,79,Daine Jir (uncredited),52fe420ec3a36847f800057b,0,190453,Al Lampert,70,11
71,80,BoShek (uncredited),52fe420ec3a36847f800057f,0,1012562,Anthony Lang,71,11
72,81,Muftak / Cantina Band Member (uncredited),52fe420ec3a36847f8000583,0,1271091,Laine Liska,72,11
73,82,Temple Guard / Medal Bearer (uncredited),52fe420ec3a36847f8000587,2,1271092,Derek Lyons,73,11
74,83,Jawa (uncredited),52fe420ec3a36847f800058b,0,1271095,Mahjoub,74,11
75,84,Takeel (uncredited),52fe420ec3a36847f800058f,0,1271096,Alf Mangan,75,11
76,85,Stormtrooper (special edition) (uncredited),52fe420ec3a36847f8000593,0,19801,Rick McCallum,76,11
77,86,Death Star Gunner (uncredited),52fe420ec3a36847f8000597,0,1271102,Grant McCune,77,11
78,87,Cantina Patron (uncredited),52fe420ec3a36847f800059b,0,1271104,Geoffrey Moon,78,11
79,88,Swilla Corey (uncredited),52fe420ec3a36847f800059f,0,1271106,Mandy Morton,79,11
80,89,Massassi Base Rebel Scout (uncredited),52fe420ec3a36847f80005a3,0,1271107,Lorne Peterson,80,11
81,90,Rycar Ryjerd (uncredited),52fe420ec3a36847f80005a7,0,1183443,Marcus Powell,81,11
82,91,InCom Engineer (uncredited),52fe420ec3a36847f80005ab,2,10657,Shane Rimmer,82,11
83,92,Leesub Sirln (uncredited),52fe420ec3a36847f80005af,0,1271116,Pam Rose,83,11
84,93,Cmdr. Praji (Imperial Officer #2 on rebel ship) (uncredited),52fe420ec3a36847f80005b3,2,110319,George Roubicek,84,11
85,94,Tawss Khaa (uncredited),52fe420ec3a36847f80005b7,0,1271121,Erica Simmons,85,11
86,95,Senni Tonnika (uncredited),52fe420ec3a36847f80005bb,0,1271122,Angela Staines,86,11
87,96,Cantina Patron (uncredited),52fe420ec3a36847f80005bf,0,1271123,George Stock,87,11
88,97,Cantina Patron (uncredited),52fe420ec3a36847f80005c3,0,1271124,Roy Straite,88,11
89,98,Sai'torr Kal Fas (uncredited),52fe420ec3a36847f80005c7,0,1271125,Peter Sturgeon,89,11
90,99,Lt. Pol Treidum (uncredited),52fe420ec3a36847f80005cb,0,187398,Peter Sumner,90,11
91,100,Cantina Voices (voice) (uncredited),52fe420ec3a36847f80005cf,0,1271126,John Sylla,91,11
92,101,Massassi Outpost Announcer / Various Voices (voice) (uncredited),52fe420ec3a36847f80005d3,0,390158,Tom Sylla,92,11
93,22,Lt. Shann Childsen (uncredited),52fe420dc3a36847f8000497,2,166258,Malcolm Tierney,93,11
94,102,Cantina Alien (uncredited),52fe420ec3a36847f80005d7,2,7727,Phil Tippett,94,11
95,103,Del Goren (uncredited),52fe420ec3a36847f80005db,0,184980,Burnell Tucker,95,11
96,104,Stormtrooper (voice) (uncredited),52fe420ec3a36847f80005df,0,160947,Morgan Upton,96,11
97,105,Stormtrooper (voice) (uncredited),52fe420ec3a36847f80005e3,0,161301,Jerry Walter,97,11
98,106,Jawa (uncredited),52fe420ec3a36847f80005e7,0,1271127,Hal Wamsley,98,11
99,107,Greedo (voice) (uncredited),52fe420ec3a36847f80005eb,2,159108,Larry Ward,99,11
100,108,Thuku (uncredited),52fe420ec3a36847f80005ef,0,1271128,Diana Sadley Way,100,11
101,109,Ketwol / Melas (uncredited),52fe420ec3a36847f80005f3,0,1271129,Harold Weed,101,11
102,110,Stormtrooper (uncredited),52fe420ec3a36847f80005f7,2,24278,Bill Weston,102,11
103,111,Mos Eisley Citizen (special edition) (uncredited),52fe420ec3a36847f80005fb,0,60207,Steve 'Spaz' Williams,103,11
104,112,Cantina Patron (uncredited),52fe420ec3a36847f80005ff,0,1271131,Fred Wood,104,11
105,129,Rebel Pilot (uncredited),588f15b4c3a36860ce00562c,0,301657,Colin Higgins,105,11
0,8,Marlin (voice),52fe420ec3a36847f8000679,2,13,Albert Brooks,0,12
1,9,Dory (voice),52fe420ec3a36847f800067d,1,14,Ellen DeGeneres,1,12
2,7,Nemo (voice),52fe420ec3a36847f8000675,2,12,Alexander Gould,2,12
3,16,Gill (voice),52fe420ec3a36847f8000699,2,5293,Willem Dafoe,3,12
4,10,Bloat (voice),52fe420ec3a36847f8000681,2,18,Brad Garrett,4,12
5,11,Peach (voice),52fe420ec3a36847f8000685,1,19,Allison Janney,5,12
6,23,Gurgle (voice),52fe420ec3a36847f80006c1,2,6168,Austin Pendleton,6,12
7,24,Bubbles (voice),52fe420ec3a36847f80006c5,2,17401,Stephen Root,7,12
8,25,Deb / Flo (voice),52fe420ec3a36847f80006c9,1,14723,Vicki Lewis,8,12
9,26,Jacques (voice),52fe420ec3a36847f80006cd,0,7911,Joe Ranft,9,12
10,27,Nigel (voice),52fe420ec3a36847f80006d1,2,118,Geoffrey Rush,10,12
11,12,Crush (voice),52fe420ec3a36847f8000689,2,7,Andrew Stanton,11,12
12,13,Coral (voice),52fe420ec3a36847f800068d,1,20,Elizabeth Perkins,12,12
13,28,Squirt (voice),52fe420ec3a36847f80006d5,2,981048,Nicholas Bird,13,12
14,29,Mr. Ray (voice),52fe420ec3a36847f80006d9,2,10,Bob Peterson,14,12
15,14,Bruce (voice),52fe420ec3a36847f8000691,2,22,Barry Humphries,15,12
16,33,Anchor (voice),52fe420ec3a36847f80006e9,2,8783,Eric Bana,16,12
17,34,Chum (voice),52fe420ec3a36847f80006ed,2,27752,Bruce Spence,17,12
18,15,Dentist (voice),52fe420ec3a36847f8000695,2,23,Bill Hunter,18,12
19,35,Darla (voice),52fe420ec3a36847f80006f1,1,981049,LuLu Ebeling,19,12
20,36,Tad (voice),52fe420ec3a36847f80006f5,0,1211731,Jordan Ranft,20,12
21,39,Pearl (voice),5438598cc3a36825ba001f32,0,1372790,Erica Beck,21,12
22,37,Sheldon (voice),52fe420ec3a36847f80006f9,2,17190,Erik Per Sullivan,22,12
23,150,Fish School (voice),593a590f9251411ef8009e8a,2,7907,John Ratzenberger,33,12
0,7,Forrest Gump,52fe420ec3a36847f800074f,2,31,Tom Hanks,0,13
1,8,Jenny Curran,52fe420ec3a36847f8000753,1,32,Robin Wright,1,13
2,9,Lt. Dan Taylor,52fe420ec3a36847f8000757,2,33,Gary Sinise,2,13
3,10,Pvt. Benjamin Buford 'Bubba' Blue,52fe420ec3a36847f800075b,2,34,Mykelti Williamson,3,13
4,11,Mrs. Gump,52fe420ec3a36847f800075f,1,35,Sally Field,4,13
5,38,Young Forrest Gump,540b61f0c3a368799f001e2b,2,37821,Michael Conner Humphreys,5,13
6,33,Young Jenny Curran,52fe420ec3a36847f8000785,1,204997,Hanna Hall,6,13
7,25,Forrest Gump Jr.,52fe420ec3a36847f8000775,2,9640,Haley Joel Osment,7,13
8,34,School Bus Driver,52fe420ec3a36847f8000789,1,6751,Siobhan Fallon,8,13
9,35,Drill Sergeant,52fe420ec3a36847f800078d,2,37825,Afemo Omilami,9,13
10,105,Young Elvis Presley,5517d886c3a36862ff003646,2,37822,Peter Dobson,10,13
11,106,College Football Coach,5517d8dd9251412c1e001eb4,2,37823,Sonny Shroyer,11,13
12,109,Barber,55d0c1f9c3a3681bf9008562,2,951881,George Kelly,12,13
13,110,Principal,55d0c22bc3a36877570013ec,2,36221,Sam Anderson,13,13
14,111,Louise,55d0c25c9251413193007a8c,0,1215432,Margo Moorer,14,13
15,112,Boy with cross,55d0c33bc3a3681bf900857d,2,1019727,Christopher Jones,15,13
16,113,Jenny's Father,55d0c375c3a3685875004bfe,0,37832,Kevin Mangan,16,13
17,114,High School Football Coach,55d0c3f19251412e51006c2c,2,29934,Brett Rice,17,13
18,115,Recruiter,55d0c41cc3a3681567007ae7,2,14526,Daniel C. Striepeke,18,13
19,116,Newscaster,55d0c44f92514131a5007b43,0,6310,David Brisbin,19,13
20,117,Earl,55d0c46b9251413196007bab,2,154697,Kirk Ward,20,13
21,180,Bubba's Mother,586b9a9e9251415d240050cc,0,37831,Marlena Smalls,21,13
22,179,Bubba's Great Grandmother,586b9997c3a3685e99005614,1,37830,Kitty K. Green,22,13
23,118,Jenny's date,55d0c4ba9251413198007f86,2,975108,Mark Matheisen,23,13
24,119,Local Anchor #1,55d0c4e8c3a3685875004c1e,2,129725,Al Harrington,24,13
25,120,President Kennedy (voice),55d0c51bc3a3681bee007a2f,0,37824,Jed Gillin,25,13
26,121,Army Recruiter,55d0c5479251413196007bbc,2,1346510,Don Fischer,26,13
27,122,Barracks Recruit,55d0c5b7c3a3681bee007a45,0,1088274,Matt Wallace,27,13
28,123,Club patron,55d0c61dc3a3681bf90085ca,2,114326,Mike Jolly,28,13
29,124,Club patron,55d0c642c3a3681bf90085ce,2,170051,Michael Kemmerling,29,13
30,125,Club patron,55d0c672c3a3681bff007de9,0,95140,John Voldstad,30,13
31,126,Helicopter gunman,55d0c6c69251412e51006c77,0,1446990,Daniel J. Gillooly,31,13
32,127,Cleveland,55d0c7119251413198007faa,0,1401994,Michael Burgess,32,13
33,128,Tex,55d0c72d9251413196007bec,0,1235787,Steven Griffith,33,13
34,129,Army Hospital Male Nurse,55d0c777925141319f0081b0,2,163441,Michael McFall,34,13
35,130,Wounded soldier,55d0c7c192514131a2007d80,2,163441,Michael McFall,35,13
36,131,Wounded soldier,55d0c7dd92514142b40050ca,2,92658,Byron Minns,36,13
37,132,Hospital Officer,55d0c807c3a3681567007b3f,2,81692,Stephen Bridgewater,37,13
38,133,President Johnson (voice),55d0c850c3a3681bee007a87,2,37827,John William Galt,38,13
39,134,Isabel,55d0c872c3a3681567007b4f,0,1313819,Isabel Rose,39,13
40,135,Abbie Hoffman,55d0c8ad9251413198007fca,0,1409948,Richard D'Alessandro,40,13
41,136,Black Panther,55d0c8f592514142b40050e8,2,46921,Michael Jace,41,13
42,137,Wesley,55d0c90d9251412e51006cb5,2,148122,Geoffrey Blake,42,13
43,138,Hollywood Boulevard Girlfriend,55d0c94ac3a3685875004c80,1,406976,Vanessa Roth,43,13
44,139,Dick Cavett,55d0c986c3a36877570014ac,2,10565,Dick Cavett,44,13
45,140,Carla,55d0c9b99251413198007ff5,0,1405338,Tiffany Salerno,45,13
46,141,Lenore,55d0c9db92514131a5007bdd,0,1405338,Tiffany Salerno,46,13
47,142,President Nixon (voice),55d0ca079251413193007b52,2,86434,Joe Alaskey,47,13
48,143,Discharge Officer,55d0ca3a925141319f0081fe,0,1465241,Lazarus Jackson,48,13
49,144,Drugged Out Boyfriend,55d0ca79925141319800800d,0,1465241,Lazarus Jackson,49,13
50,145,Elderly Southern Woman,55d0caafc3a3684453006715,0,37828,Nora Dunfee,50,13
51,146,Waitress in cafe,55d0caf1925141319f008210,0,1327149,Hallie D'Amore,51,13
52,147,Taxi Driver,55d0cb2692514131a2007e06,2,37829,Michael Mattison,52,13
53,148,Aging Hippie,55d0cb52c3a3681bf900865e,2,176329,Charles Boswell,53,13
54,149,Wild eyed man,55d0cb769251413193007b8b,2,169643,Timothy McNeil,54,13
55,178,Crony,57d2dfcdc3a3684297000c72,2,196855,Bob Penny,55,13
56,150,Football Player (uncredited),55d0cbfcc3a3681bff007e78,0,98873,Greg Brown,56,13
57,151,Cheerleader (uncredited),55d0cc289251413196007c9a,2,13204,Troy Christian,57,13
58,152,Football Coach (uncredited),55d0cc6cc3a3681567007bdc,2,84901,Bryan Hanna,58,13
59,153,Barracks Recruit (uncredited),55d0cc86c3a3685875004cda,0,1392671,Zach Hanner,59,13
60,154,National Guardsman (uncredited),55d0cca19251413193007bc1,0,1273540,Aaron Michael Lacey,60,13
61,155,Football Fan (uncredited),55d0ccbac3a3684453006766,1,42961,Jacqueline Lovell,61,13
62,157,Football Player (uncredited),55d0ccf292514142b400514f,0,1150593,Brendan Shanahan,63,13
63,158,Black Panther (uncredited),55d0cd07c3a3681bf00070ca,0,567126,William Shipman,64,13
64,159,Nicholas Katzenbach (uncredited),55d0cd2fc3a3681bf900869a,2,173277,Robb Skyler,65,13
65,160,Jenny's Babysitter (uncredited),55d0cd4bc3a368445300677a,0,23967,Mary Ellen Trainor,66,13
0,6,Lester Burnham,52fe420ec3a36847f80007db,2,1979,Kevin Spacey,0,14
1,3,Carolyn Burnham,52fe420ec3a36847f80007cf,1,516,Annette Bening,1,14
2,5,Jane Burnham,52fe420ec3a36847f80007d7,1,2155,Thora Birch,2,14
3,7,Ricky Fitts,52fe420ec3a36847f80007df,2,8210,Wes Bentley,3,14
4,8,Angela Hayes,52fe420ec3a36847f80007e3,1,8211,Mena Suvari,4,14
5,9,Colonel Frank Fitts,52fe420ec3a36847f80007e7,2,2955,Chris Cooper,5,14
6,4,Jim Olmeyer,52fe420ec3a36847f80007d3,2,2154,Scott Bakula,6,14
7,10,Buddy Kane,52fe420ec3a36847f80007eb,2,8212,Peter Gallagher,7,14
8,11,Barbara Fitts,52fe420ec3a36847f80007ef,1,19,Allison Janney,8,14
9,12,Jim Berkley,52fe420ec3a36847f80007f3,2,8213,Sam Robards,9,14
10,13,Brad Dupree,52fe420ec3a36847f80007f7,2,8214,Barry Del Sherman,10,14
11,29,Sale House Man #1,55c23f1b9251413df1000167,2,68842,John Cho,11,14
12,117,Sale House Man #2,579b6c6dc3a36811610030c1,2,1658382,Hal Fort Atkinson,12,14
13,32,Sale House Man #3,55c23f6e9251413de80001a6,2,9634,Kent Faulcon,13,14
14,25,Sale House Woman #1,549729c6c3a3686ae9006c28,1,64189,Ara Celi,14,14
15,31,Sale House Woman #2,55c23f589251413de100019e,1,166961,Sue Casey,15,14
16,33,Sale House Woman #3,55c23fc1c3a36842dd000190,1,1397945,Brenda Wehle,16,14
17,34,Sale House Woman #4,55c23fe2c3a36842e90001d9,1,152796,Lisa Cloud,17,14
18,36,Christy Kane,55c2407c9251413dee00018e,1,42715,Amber Smith,18,14
19,37,Catering Boss,55c240bcc3a36842f3000204,2,12223,Joel McCrary,19,14
20,38,Mr. Smiley's Counter Girl (Janine),55c240ddc3a36842e3000182,1,76742,Marissa Jaret Winokur,20,14
21,39,Mr. Smiley's Manager,55c240f6c3a36842f300020a,0,1441804,Dennis Anderson,21,14
22,40,Firing Range Attendant,55c24111c3a36842f50001e2,2,177623,Matthew Kimbrough,22,14
23,26,Young Jane,551cbac99251416a21001742,0,1448568,Erin Cathryn Strubbe,23,14
24,35,Spartanette #1,55c240029251413de80001c5,1,101687,Alison Faulk,25,14
25,42,Spartanette #2,55e52dcc92514137970010b7,0,1503019,Krista Goodsitt,26,14
26,43,Spartanette #3,55e52dccc3a36813f2001196,1,1503020,Lily Houtkin,27,14
27,44,Spartanette #4,55e52dcc92514137a8001157,1,1503021,Carolina Lancaster,28,14
28,45,Spartanette #5,55e52dcdc3a36813eb001157,1,1503022,Mona Leah,29,14
29,46,Spartanette #6,55e52dcdc3a36813f6000f1f,1,1503023,Chekesha Van Putten,30,14
30,47,Spartanette #7,55e52dcdc3a36813eb00115c,1,1503024,Emily Zachary,31,14
31,56,Spartanette #8,55e52e10c3a36813f20011af,1,1503030,Nancy Anderson,32,14
32,48,Spartanette #9,55e52dce92514137a00011ec,1,568656,Reshma Gajjar,33,14
33,49,Spartanette #10,55e52dcec3a36813f6000f24,1,1503025,Stephanie Rizzo,34,14
34,50,Playground Girl #1,55e52dce92514137a600112b,1,1503026,Heather Joy Sher,35,14
35,51,Playground Girl #2,55e52dcfc3a36814080012c3,1,1219143,Chelsea Hertford,36,14
36,52,Newscaster (uncredited),55e52dcf925141379d001124,1,1503027,Elaine Corral Kendall,37,14
37,53,Wedding Guest (uncredited),55e52dcfc3a36813f200119b,2,1503028,David C. Fisher,38,14
38,54,Advertising Executive (uncredited),55e52dcf92514137a800115c,2,1503029,Tom Miller,39,14
39,118,Bartender (uncredited),579b736b9251414779002262,2,8215,Bruce Cohen,41,14
0,33,Selma Jezkova,52fe420fc3a36847f8000a17,1,47,Björk,0,16
1,2,Kathy,52fe420ec3a36847f8000985,1,50,Catherine Deneuve,1,16
2,3,Bill Houston,52fe420ec3a36847f8000989,2,52,David Morse,2,16
3,4,Jeff,52fe420ec3a36847f800098d,2,53,Peter Stormare,3,16
4,7,Oldrich Novy,52fe420ec3a36847f800099d,2,6748,Joel Grey,4,16
5,8,Linda Houston,52fe420ec3a36847f80009a1,1,2617,Cara Seymour,5,16
6,9,Gene Jezkova,52fe420ec3a36847f80009a5,0,6749,Vladica Kostic,6,16
7,10,Norman,52fe420ec3a36847f80009a9,2,1642,Jean-Marc Barr,7,16
8,11,Samuel,52fe420ec3a36847f80009ad,0,6750,Vincent Paterson,8,16
9,12,Brenda,52fe420ec3a36847f80009b1,1,6751,Siobhan Fallon,9,16
10,13,District Attorney,52fe420ec3a36847f80009b5,2,6752,Zeljko Ivanek,10,16
11,14,Dr. Porkorny,52fe420ec3a36847f80009b9,2,1646,Udo Kier,11,16
12,15,Morty,52fe420ec3a36847f80009bd,2,6121,Jens Albinus,12,16
13,16,Judge,52fe420ec3a36847f80009c1,0,6753,Reathel Bean,13,16
14,17,Receptionist,52fe420ec3a36847f80009c5,0,6754,Mette Berggreen,14,16
15,18,Defense Attorney,52fe420ec3a36847f80009c9,0,6755,Lars Michael Dinesen,15,16
16,19,Suzan,52fe420ec3a36847f80009cd,1,6756,Katrine Falkenberg,16,16
17,20,Angry Man,52fe420ec3a36847f80009d1,0,6757,Michael Flessas,17,16
18,21,Detective,52fe420ec3a36847f80009d5,2,6758,John Randolph Jones,18,16
19,22,Doctor,52fe420ec3a36847f80009d9,2,1640,Stellan Skarsgård,19,16
20,23,Woman on Night Shift,52fe420ec3a36847f80009dd,0,4458,Paprika Steen,20,16
21,56,Officer of the Court / Dancer,565b40ec9251416920002f82,0,1439629,Noah Lazarus,21,16
22,57,Chairman / Dancer,565b4136c3a3685079002ec5,2,6135,John Martinus,22,16
23,58,New Defense Council,565b4177925141692b002e91,0,1507755,Luke Reilly,23,16
24,59,Person in Doorway,565b41c9925141691b002f2c,2,1190848,Sean-Michael Smith,24,16
25,60,Dancer,565c8e71c3a3680a4100039b,0,1445063,Al Agami,25,16
26,61,Dancer,565c8f1f925141583d00002e,0,148629,Anna Norberg,26,16
27,62,Dancer (uncredited),565c900e925141583a00006f,0,1151162,Troels Asmussen,27,16
28,63,Prison Guard - Serving Selma Jezkova's last meal (uncredited),565c903dc3a368236a000073,0,1335599,Caroline Sascha Cogez,28,16
0,5,Korben Dallas,52fe420fc3a36847f8000b53,2,62,Bruce Willis,0,18
1,7,Jean-Baptiste Emmanuel Zorg,52fe420fc3a36847f8000b5b,2,64,Gary Oldman,1,18
2,8,Father Vito Cornelius,52fe420fc3a36847f8000b5f,2,65,Ian Holm,2,18
3,6,Leeloo,52fe420fc3a36847f8000b57,1,63,Milla Jovovich,3,18
4,36,Ruby Rhod,52fe420fc3a36847f8000bcf,2,66,Chris Tucker,4,18
5,37,Billy,52fe420fc3a36847f8000bd3,2,8395,Luke Perry,5,18
6,38,General Munro,52fe420fc3a36847f8000bd7,2,591,Brion James,6,18
